// File: manyResources.txt
// Data file for SeaPort projects
// Date: Thu May 03 15:04:55 EDT 2018
// parameters: 3 3 6 6 10 25
//   ports, docks, pships, cships, jobs, persons

// port   name index parent(null)
//    port   <string> <int> <int>
port Phnom_Penh 10000 0
port Prague 10002 0
port Pagny 10001 0

// dock   name index parent(port)
//    dock   <string> <int> <int>
  dock Pier_4 20004 10000 30004
  dock Pier_12 20012 10002 30013
  dock Pier_13 20013 10002 30014
  dock Pier_2 20002 10000 30002
  dock Pier_9 20009 10001 30010
  dock Pier_11 20011 10002 30012
  dock Pier_14 20014 10002 30015
  dock Pier_1 20001 10000 30001
  dock Pier_10 20010 10001 30011
  dock Pier_8 20008 10001 30009
  dock Pier_0 20000 10000 30000
  dock Pier_6 20006 10001 30007
  dock Pier_3 20003 10000 30003
  dock Pier_15 20015 10002 30016
  dock Pier_5 20005 10001 30006
  dock Pier_7 20007 10001 30008

// pship  name index parent(dock/port) weight length width draft numPassengers numRooms numOccupied
//    pship  <string> <int> <int> <double> <double> <double> <double> <int> <int> <int>
    pship            Humongous 30000 20000 225.47 413.63 49.26 25.53 3615 961 961
    pship              Whizzes 30016 20015 80.20 495.32 128.26 27.36 271 590 135
    pship                  Din 30010 20009 134.09 257.86 124.29 24.30 961 713 480
    pship       Misapprehended 30003 20003 97.33 325.32 101.83 27.39 2909 907 907
    pship    Conversationalist 30014 20013 193.35 467.93 38.90 15.47 1050 669 525
    pship             Varnishy 30011 20010 192.80 473.21 126.31 26.45 2139 756 756
    pship                Educe 30017 10002 88.68 220.85 41.03 27.19 1483 1053 741
    pship              Ragbags 30008 20007 105.53 117.18 86.73 28.46 291 483 145
    pship            Backswept 30005 10000 93.24 442.85 64.31 37.48 1322 347 347
    pship              Angrier 30007 20006 217.92 189.71 54.83 41.62 1591 783 783
    pship        Nonfunctional 30015 20014 106.54 229.70 98.02 17.01 1460 757 730
    pship           Aftermaths 30012 20011 199.73 221.10 81.10 22.73 1586 963 793
    pship             Shivered 30006 20005 214.86 498.32 111.10 35.62 1187 367 367
    pship             Hamperer 30002 20002 170.55 381.48 85.15 20.11 1048 704 524
    pship               Delead 30013 20012 77.11 234.38 50.35 28.17 356 285 178
    pship            Foursomes 30009 20008 105.17 280.08 59.02 44.50 128 416 64
    pship                Incus 30004 20004 69.16 118.47 36.72 29.31 1423 1003 711
    pship            Temptress 30001 20001 91.60 127.89 83.73 30.29 901 359 359

// cship  name index parent(dock/port) weight length width draft cargoWeight cargoVolume cargoValue
//    cship  <string> <int> <int> <double> <double> <double> <double> <double> <double> <double>
    cship      Masculinization 40017 10002 88.82 294.69 72.58 43.63 202.56 156.73 808.58
    cship           Regranting 40012 10002 75.18 218.35 39.38 32.04 188.79 174.83 456.48
    cship           Coquettish 40004 10000 111.34 316.02 126.27 29.99 209.25 139.52 557.72
    cship                Twist 40011 10001 173.77 366.80 66.51 43.85 64.25 173.94 528.58
    cship             Hutzpahs 40002 10000 243.69 361.01 47.76 31.41 217.36 177.28 198.74
    cship           Excretions 40009 10001 119.87 167.35 34.90 27.83 171.42 118.50 269.20
    cship     Discontentedness 40003 10000 234.80 134.47 118.67 35.92 189.82 165.30 644.83
    cship           Trephining 40016 10002 108.24 164.50 101.83 41.84 139.25 195.47 113.54
    cship             Nasalise 40000 10000 211.75 157.86 55.51 22.95 149.88 100.22 699.49
    cship            Headfirst 40010 10001 101.69 282.74 40.90 18.67 141.42 115.72 775.48
    cship                Goody 40014 10002 159.11 426.93 65.23 38.90 81.94 153.97 179.21
    cship               Wakers 40008 10001 243.88 136.20 55.05 42.15 159.48 133.45 515.26
    cship          Sandalwoods 40007 10001 211.70 178.90 97.44 24.05 129.74 176.04 93.40
    cship              Uniting 40015 10002 157.70 136.21 58.44 22.85 112.17 120.82 254.42
    cship            Spunkiest 40001 10000 188.57 132.75 66.07 33.68 95.79 159.66 630.02
    cship                Lippy 40013 10002 81.79 216.98 105.08 43.79 97.53 150.83 42.94
    cship               Saline 40005 10000 115.75 288.92 55.76 16.90 205.09 168.43 206.54
    cship           Suspension 40006 10001 63.46 157.35 30.74 28.96 175.04 186.89 511.96

// person name index parent skill
//    person <string> <int> <int> <string>
    person               Angela 50009 10001 inspector
    person               Sidney 50008 10000 mate
    person                  Eva 50027 10002 stevedore
    person               Martin 50020 10001 painter
    person               Connie 50019 10001 engineer
    person                  Jay 50004 10000 cleaner
    person                Scott 50018 10001 mate
    person                Vicki 50007 10000 captain
    person                Moses 50011 10001 stevedore
    person                  Jay 50022 10002 electrician
    person              Kristin 50030 10002 inspector
    person                 Phil 50006 10000 mechanic
    person              Melinda 50029 10002 driver
    person                 Pete 50016 10001 stevedore
    person           Marguerite 50023 10002 painter
    person              Clayton 50012 10001 cleaner
