// File: newTest.txt
// Data file for SeaPort projects
// Date: Fri Apr 20 17:01:28 EDT 2018
// parameters: 4 4 6 6 6 2
//   ports, docks, pships, cships, jobs, persons

// port   name index parent(null)
//    port   <string> <int> <int>
port Papsa 10003 0
port Tanger-Med 10000 0
port Liuzhou 10001 0
port Arica 10002 0

// dock   name index parent(port)
//    dock   <string> <int> <int>
  dock Pier_6 20006 10000 40000
  dock Pier_0 20000 10000 30000
  dock Pier_1 20001 10000 30001
  dock Pier_12 20012 10001 30010
  dock Pier_24 20024 10003 30022
  dock Pier_4 20004 10000 30004
  dock Pier_16 20016 10002 30013
  dock Pier_23 20023 10003 30021
  dock Pier_10 20010 10001 30008
  dock Pier_13 20013 10001 30011
  dock Pier_9 20009 10001 30007
  dock Pier_20 20020 10003 30018
  dock Pier_7 20007 10000 40001
  dock Pier_2 20002 10000 30002
  dock Pier_17 20017 10002 30014
  dock Pier_19 20019 10002 30016
  dock Pier_15 20015 10002 30012
  dock Pier_21 20021 10003 30019
  dock Pier_11 20011 10001 30009
  dock Pier_22 20022 10003 30020
  dock Pier_18 20018 10002 30015
  dock Pier_14 20014 10001 40006
  dock Pier_8 20008 10001 30006
  dock Pier_5 20005 10000 30005
  dock Pier_3 20003 10000 30003

// pship  name index parent(dock/port) weight length width draft numPassengers numRooms numOccupied
//    pship  <string> <int> <int> <double> <double> <double> <double> <int> <int> <int>
    pship               Canton 30004 20004 113.42 477.27 60.71 36.57 1873 784 784
    pship        Archeological 30015 20018 85.36 248.04 56.51 21.47 3098 923 923
    pship               Deigns 30014 20017 123.00 181.96 59.73 29.79 416 1000 208
    pship           Herniating 30019 20021 86.27 187.54 52.43 38.55 1225 463 463
    pship              Footsie 30021 20023 106.03 201.35 116.39 20.92 1464 658 658
    pship          Protagonist 30016 20019 240.86 459.50 79.16 20.22 1 1036 0
    pship               Hading 30017 10002 129.01 375.65 39.78 19.51 320 317 160
    pship       Climatotherapy 30013 20016 108.04 439.55 106.38 27.66 1499 587 587
    pship                Carat 30008 20010 236.10 494.53 75.23 21.32 1074 673 537
    pship            Distilled 30005 20005 62.28 303.42 58.79 32.34 78 269 39
    pship         Flagellators 30002 20002 214.66 491.48 52.82 22.94 1649 1088 824
    pship          Penetrating 30011 20013 188.91 149.09 81.18 20.29 1202 685 601
    pship            Motorcade 30010 20012 128.70 221.70 119.77 30.51 1967 898 898
    pship              Tercels 30001 20001 185.73 174.28 104.29 27.39 301 627 150
    pship              Abysses 30003 20003 142.15 269.23 69.06 40.66 91 233 45
    pship           Councilman 30009 20011 111.75 402.01 84.77 32.55 154 362 77
    pship             Download 30018 20020 182.96 344.55 114.39 38.63 3539 923 923
    pship              Nursery 30020 20022 110.54 495.10 109.38 27.05 843 511 421
    pship              Sandier 30012 20015 218.69 372.21 100.62 44.34 592 361 296
    pship                 Aunt 30022 20024 67.21 463.18 117.48 23.80 2532 1027 1027
    pship            Messieurs 30000 20000 230.52 452.82 35.84 29.28 1709 589 589
    pship             Screamer 30006 20008 77.86 401.75 103.08 28.93 1415 448 448
    pship            Symbolism 30023 10003 121.63 381.17 71.25 29.86 2499 677 677
    pship              Rummest 30007 20009 83.78 158.20 101.43 16.43 2339 998 998

// cship  name index parent(dock/port) weight length width draft cargoWeight cargoVolume cargoValue
//    cship  <string> <int> <int> <double> <double> <double> <double> <double> <double> <double>
    cship            Plumpness 40003 10000 194.49 138.19 40.48 39.16 196.57 194.83 696.19
    cship                Folks 40008 10001 127.17 419.65 91.98 43.82 161.99 112.20 192.45
    cship              Heedful 40012 10002 58.45 256.53 37.56 40.52 149.35 151.37 506.94
    cship           Forebodies 40000 20006 72.52 146.53 64.46 17.33 162.58 107.74 937.75
    cship           Unexciting 40021 10003 75.98 190.21 98.18 23.37 32.47 129.29 140.18
    cship               Offcut 40009 10001 81.45 496.97 42.04 28.50 191.23 182.95 34.49
    cship           Roistering 40020 10003 52.38 448.50 42.78 18.90 165.33 154.70 725.40
    cship           Cognoscing 40010 10001 168.04 335.73 45.41 31.98 72.05 114.58 918.42
    cship                Tangy 40004 10000 93.26 387.29 63.25 15.08 68.02 160.96 308.53
    cship          Liquidators 40018 10003 228.66 407.78 81.01 28.16 100.63 159.33 475.93
    cship             Murmurer 40006 20014 242.68 491.82 86.59 35.35 142.84 154.64 652.81
    cship           Zitherists 40023 10003 186.02 423.13 42.13 25.70 51.90 127.04 409.14
    cship              Fickler 40001 20007 162.13 442.67 39.43 38.68 102.26 104.74 242.44
    cship               Unzips 40011 10001 202.69 109.69 52.45 16.80 134.46 191.72 822.33
    cship               Ripsaw 40007 10001 135.42 177.17 73.31 20.88 91.45 130.99 199.77
    cship                Rouse 40017 10002 179.28 190.69 126.01 37.16 76.20 102.95 995.95
    cship            Cochaired 40005 10000 87.29 411.92 49.71 32.37 182.32 197.88 597.52
    cship      Interventionism 40013 10002 115.57 486.69 51.12 21.68 172.78 156.91 370.93
    cship            Northward 40014 10002 138.60 119.00 101.25 34.40 107.74 118.36 72.78
    cship            Maculates 40016 10002 72.44 166.30 122.29 32.20 94.39 109.72 772.90
